cycle,Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_impedance,Re,Rct
1,(641.7734375-13.882658004760742j),(516.898681640625-104.69268798828125j),(1.197884157285429+0.21576192449561582j),(0.003340930844086225-0.3359955219854591j),(0.07994738304328833-0.0008659307828382606j),0.06123359021000344,0.0785415394665875
1,(810.7418823242188-38.868812561035156j),(345.44146728515625-80.02973937988281j),(2.252161312751339+0.4092475389563169j),(0.16152491831546748-0.013592664986419574j),(0.0790280314434892-0.0011021777308386758j),0.06123359021000344,0.0785415394665875
1,(813.673583984375-42.631103515625j),(344.1472473144531-76.89897918701172j),(2.278247153595212+0.3851949360804742j),(0.01263650746464321+0.023407676492342624j),(0.0791008661183552-0.0013811293829134054j),0.06123359021000344,0.0785415394665875
1,(806.3294067382812-50.92262268066406j),(353.1866455078125-67.70503997802734j),(2.2287491907239656+0.28306543197451295j),(0.029170173444485168-0.07029643852636713j),(0.07904969195660952-0.0007153645154074492j),0.06123359021000344,0.0785415394665875
1,(805.0181274414062-50.3015251159668j),(354.9661560058594-61.880409240722656j),(2.2249597161571444+0.2461640108092927j),(0.13126545120703262-0.07494907627556946j),(0.07842556056660718-0.0004053463928218273j),0.06123359021000344,0.0785415394665875
1,(804.2772827148438-53.93603515625j),(355.3029479980469-58.21568298339844j),(2.228679185757202+0.21336171349162725j),(0.2028999892696085-0.01056834739308934j),(0.07957758878090589-0.0005204758028562262j),0.06123359021000344,0.0785415394665875
1,(803.3150634765625-60.01893615722656j),(356.0285949707031-52.003231048583984j),(2.233297980329909+0.15762715553458187j),(0.22857874146904086+0.06004749775724341j),(0.07931904899403942-0.0008184759553189342j),0.06123359021000344,0.0785415394665875
1,(802.2928466796875-62.37166213989258j),(358.4185791015625-49.10614013671875j),(2.220583364797297+0.13021818197623253j),(0.23029055065089324+0.10799620957637544j),(0.0770396952898827+0.00026723495573628946j),0.06123359021000344,0.0785415394665875
1,(803.09326171875-64.6004409790039j),(357.20166015625-47.507843017578125j),(2.232847336876597+0.11611737684926633j),(0.22611238601635522+0.12943638133770113j),(0.07736679700226863+0.00021840436574352683j),0.06123359021000344,0.0785415394665875
1,(801.601318359375-66.01296997070312j),(358.37969970703125-45.60102462768555j),(2.224164807942986+0.09880923568294876j),(0.22306434278020906+0.12920592657550042j),(0.07801485684716337-0.0011188916334496611j),0.06123359021000344,0.0785415394665875
1,(798.9409790039062-58.774383544921875j),(361.40875244140625-36.26011657714844j),(2.2047528392388562+0.05857691958666748j),(0.22112346464382124+0.11362122407831989j),(0.0784050821473505-0.0007091109890724029j),0.06123359021000344,0.0785415394665875
1,(798.2359619140625-61.14006042480469j),(362.46929931640625-35.53668975830078j),(2.1976303755161846+0.04678037137299844j),(0.2177984700631869+0.0887209515465956j),(0.0770334566502902-0.0006872991057214872j),0.06123359021000344,0.0785415394665875
1,(799.9090576171875-57.21775817871094j),(361.5245666503906-38.74198913574219j),(2.204246613453071+0.0779452982497725j),(0.21096970581342978+0.05993679846340369j),(0.07754357993707588-0.001292232057241424j),0.06123359021000344,0.0785415394665875
1,(798.8265380859375-58.345603942871094j),(361.8316650390625-37.325164794921875j),(2.200943109077626+0.06579015218341679j),(0.20005133822116652+0.03173740161210327j),(0.07745289433427895-0.0006341702345417683j),0.06123359021000344,0.0785415394665875
1,(797.4655151367188-59.15486145019531j),(363.4870300292969-35.54512023925781j),(2.188913626001563+0.05130949673191043j),(0.18596711995880175+0.007218139804836069j),(0.07623731933449321-0.0005381519976823749j),0.06123359021000344,0.0785415394665875
1,(799.0813598632812-40.705718994140625j),(364.191650390625-29.16797637939453j),(2.189033624282878+0.06354885409321985j),(0.1705141911704099-0.012061633602079846j),(0.076059430284835-0.001015690229870989j),0.06123359021000344,0.0785415394665875
1,(797.7340087890625-41.653289794921875j),(365.1703796386719-26.33140754699707j),(2.1814355670776617+0.04323181736409064j),(0.15563102416087501-0.025871567266659297j),(0.07675837458258007-0.0015617320846484024j),0.06123359021000344,0.0785415394665875
1,(796.580078125-41.090065002441406j),(367.17041015625-25.419288635253906j),(2.166872669412788+0.03810300729639889j),(0.14288952789799178-0.03484768934129878j),(0.07557141066905992-0.001105746884668799j),0.06123359021000344,0.0785415394665875
1,(795.6507568359375-41.430419921875j),(366.5806884765625-26.884958267211914j),(2.1670980819991237+0.045916007314996836j),(0.13329501470149696-0.03998055968468771j),(0.07469140800535509-0.0009370882322949761j),0.06123359021000344,0.0785415394665875
1,(795.0792846679688-40.482444763183594j),(367.3030700683594-28.151893615722656j),(2.1603973277140316+0.05536798527311088j),(0.1273143055611747-0.042213219325331765j),(0.073168261354725-0.0016067275935373172j),0.06123359021000344,0.0785415394665875
1,(795.6146850585938-41.896507263183594j),(368.7181396484375-25.793691635131836j),(2.15518753708185+0.03713876267991994j),(0.1250009086626373-0.04221154173638658j),(0.0724965738279678-0.001824672462942618j),0.06123359021000344,0.0785415394665875
